,Open,High,Low,Close,Adj Close,Volume
count,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0
mean,52.86866338455599,52.98709431505792,52.80454446332047,52.927489687258685,51.65025770965252,683.6293436293437
std,23.93165152131327,24.023310254786132,23.880836626123838,23.968231803704306,23.197780365411006,3625.1266719376936
min,16.43,16.43,16.43,16.43,15.956594,100.0
25%,37.400002,37.400002,37.400002,37.400002,36.322376,166.66666666666669
50%,48.5,48.5,48.5,48.5,47.830933,300.0
75%,63.5,63.575001,63.5,63.5,61.670341,550.0
max,124.0,124.0,124.0,124.0,120.427124,108200.0
median,48.5,48.5,48.5,48.5,47.830933,300.0
kurtosis,0.2233418201992845,0.20995617444226422,0.23460680719391291,0.21865911539885552,0.2239103898253485,643.6100605487535
